source target
ATG101 CCDC53
ATG101 FAM221B
FLOT2 GORASP2
FLOT2 TMEM79
FLOT2 MPZL3
FLOT2 TBC1D15
FLOT2 MPC2
MIS18BP1 IKZF5
MIS18BP1 MIS18A
MIS18BP1 OIP5
MIS18BP1 CACNG5
MIS18BP1 NCAPH2
MIS18BP1 GOPC
MIS18BP1 CAV3
MIS18BP1 LZTS2
AP1M1 FBXO4
AP1M1 RNF19B
AP1M1 TLR2
AP1M1 AP1S2
AP1M1 TGOLN2
AP1M1 CPD
SCAMP2 LPAR1
CUL4A DET1
CUL4A COPS6
CUL4A MRPS11
CUL4A COPS5
CUL4A COPS2
CUL4A CRBN
CUL4A TMCO3
CUL4A TRPC4AP
CUL4A COPS3
CUL4A DDB2
CUL4A CCNG1
CUL4A WDTC1
CUL4A COPS8
CUL4A DCAF8
CUL4A DCAF4L1
CUL4A COPS7B
CUL4A DCAF11
CUL4A DCAF4
CUL4A DCAF4L2
CUL4A CRYBA4
CUL4A GLMN
CUL4A ATP6V0D1
ZNF428 PIP4K2B
ZNF428 CHAMP1
ZNF428 GTF2I
ZNF428 POGZ
ZNF428 PARP2
ZNF428 ACTBL2
ZNF428 FOXK2
ZNF428 H2AFY
ZNF428 HIST2H2AB
ZNF428 PIP4K2A
ZNF428 XPC
ZNF428 FOXK1
ZNF428 HIST2H3PS2
ZNF428 PIP4K2C
ACTN1 PDLIM1
TMCC1 TEX28
TTI1 CHRM3
TTI1 TMEM51
TTI1 CD68
TTI1 SIGLECL1
TTI1 CD274
TTI1 VSIG1
TTI1 VSIG2
TTI1 CD70
TTI1 SCN2B
PRKAB1 PRKAG2
PRKAB1 STIM2
PRKAB1 TUBA4A
PRKAB1 TUBB1
PRKAB1 PRKAA2
PRKAB1 PRKAG3
PRKAB1 NEK4
PRKAB1 CCKBR
PRKAB1 MCL1
PRKAB1 TRMT44
PRKAB1 TRIM11
PRKAB1 CUTA
PRKAB1 HARS2
PRKAB1 PRKAA1
PRKAB1 PRKAB2
