source target
EFT2 KRE6
EFT2 RAD50
EFT2 EFT1
EFT2 HGH1
EFT2 SSA1
EFT2 KTI11
EFT2 KIN4
EFT2 PAT1
EFT2 LSM1
EFT2 DPH5
EFT2 HSP82
EFT2 HYP2
EFT2 XRN1
EFT2 DPH1
EFT2 DPH2
EFT2 RPN11
KAP123 RPS1A
KAP123 PSE1
KAP123 NUP57
KAP123 NUP100
KAP123 HHF1
KAP123 NSP1
KAP123 NUP60
KAP123 NBP1
KAP123 YPR174C
KAP123 HTA1
KAP123 RPS1B
KAP123 GSP1
KAP123 RPS8A
KAP123 NUP116
KAP123 GCR1
KAP123 NUP1
KAP123 YRA1
KAP123 FUN19
KAP123 RPS5
KAP123 HHF2
KAP123 YAP1
KAP123 RPN11
KAP123 HHT1
KAP123 NUP2
KAP123 RPL23A
KAP123 HHT2
CDC33 TOR2
CDC33 CAF20
CDC33 TIF4632
CDC33 HEK2
CDC33 LUC7
CDC33 EAP1
CDC33 SBP1
CDC33 LHP1
CDC33 XRN1
CDC33 POL2
CDC33 PAB1
CDC33 RTC3
CDC33 STO1
CDC33 TIF4631
CDC33 DED1
CDC33 TIF3
UTP25 SAS10
UTP25 MPP10
UTP25 SBA1
DOC1 APC9
DOC1 RAS2
DOC1 SMI1
DOC1 CDC27
DOC1 SWM1
DOC1 CDC16
DOC1 FKS1
DOC1 CDC23
DOC1 APC5
DOC1 APC4
DOC1 CDC26
DOC1 RAD27
DOC1 APC1
DOC1 CHS3
DOC1 APC2
DOC1 MND2
PRM10 DBF2
QCR8 LAT1
QCR8 COX4
QCR8 COB
QCR8 YPL150W
QCR8 COR1
QCR8 QCR2
QCR8 PDB1
CDC15 MOB1
CDC15 BUB2
CDC15 NET1
CDC15 TEM1
CDC15 CDC5
CDC15 SPO12
CDC15 CDC14
CDC15 CDC13
CDC15 LTE1
CDC15 SNM1
CDC15 PDS1
CDC15 DBF2
CDC15 ESP1
CDC15 SIC1
CDC15 CLB2
HEM3 PUF3
VHS2 DBF2
VHS2 RTS1
VHS2 GIC2
VHS2 CDC12
VHS2 GIC1
VHS2 SHS1
VHS2 CDC3
NTH2 TPS1
NTH2 TPS2
NTH2 NTH1
KTI11 SEC2
KTI11 ELP3
KTI11 ELP2
KTI11 ATS1
KTI11 DPH2
KTI11 WHI3
KTI11 DPH1
